scale,wavelength_nm,count_raw,count
Leaves,464.9,0.99,1
Leaves,555.0,0.99,1
Leaves,635.3,2.99,3
Leaves,645.1,0.99,1
Leaves,654.9,2.99,3
Leaves,675.1,2.0,2
Leaves,684.9,2.0,2
Leaves,705.1,2.99,3
Leaves,715.0,0.99,1
Leaves,725.4,0.99,1
Leaves,754.8,0.99,1
Leaves,784.8,0.99,1
Leaves,805.1,2.99,3
Leaves,854.7,0.99,1
Landscape,705.1,0.99,1
Landscape,725.4,0.99,1
