scale,wavelength_nm,count_raw,count
Leaves,454.9,0.96,1
Leaves,474.8,0.96,1
Leaves,485.4,0.96,1
Leaves,555.1,11.98,12
Leaves,575.0,1.99,2
Leaves,604.9,0.96,1
Leaves,655.3,1.99,2
Leaves,675.2,1.99,2
Leaves,695.1,0.96,1
Leaves,705.1,9.99,10
Leaves,715.0,0.96,1
Leaves,745.5,0.96,1
Leaves,755.5,0.96,1
Leaves,785.4,5.97,6
Leaves,805.3,0.96,1
Landscape,555.1,0.96,1
Landscape,705.1,0.96,1
